signal_id,signal_slug,signal_label,holding_days,config_path,run_dir,report_path,signal_rows,entry_signal_rows,exit_signal_rows,signal_symbols,first_signal_date,last_signal_date,orders,filled_orders,rejected_orders,trades,final_equity,total_return,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio,cash_ratio
1,volume_breakout,量增突破：量能放大且股价低于 30 日均线,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_01_volume_breakout_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-1-board-sample-300d_20260504T155828461495Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_01_volume_breakout/ten-buy-signal-01-volume_breakout-hold-1-board-sample-300d_20260504T155828461495Z/report.html,572,286,286,95,2025-03-24,2026-04-29,571,570,1,570,970865.756674,-0.029134243326,-0.0274189592,0.125171563851,-0.117421654018,-0.159904711139,1.0
2,rising_price_pullback,上涨回调：短期上行、量能放大且靠近 10 日均线,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_02_rising_price_pullback_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-1-board-sample-300d_20260504T155829629010Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_02_rising_price_pullback/ten-buy-signal-02-rising_price_pullback-hold-1-board-sample-300d_20260504T155829629010Z/report.html,242,121,121,68,2025-02-21,2026-04-17,242,242,0,242,928739.762098,-0.071260237902,-0.062428297598,0.047525610451,-0.115399269138,-1.332519211543,1.0
3,weekly_volume_contraction,周线缩量：周量收缩企稳后首个日线放量反弹,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_03_weekly_volume_contraction_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-1-board-sample-300d_20260504T155830918228Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_03_weekly_volume_contraction/ten-buy-signal-03-weekly_volume_contraction-hold-1-board-sample-300d_20260504T155830918228Z/report.html,142,71,71,53,2025-04-08,2026-04-28,142,142,0,142,1029864.68701,0.02986468701,0.029160131319,0.051941627989,-0.048953743888,0.579166791823,1.0
4,bad_news_absorption,利空吸收：低位连续放量上涨并突破,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_04_bad_news_absorption_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-1-board-sample-300d_20260504T155831466061Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_04_bad_news_absorption/ten-buy-signal-04-bad_news_absorption-hold-1-board-sample-300d_20260504T155831466061Z/report.html,54,27,27,24,2025-12-04,2026-04-21,54,54,0,54,997865.575585,-0.002134424415,-0.005593151813,0.064089751858,-0.037405615037,-0.056043625272,1.0
5,strong_stock_breakout,强势股突破：20 日涨幅超 30% 后延续突破,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_05_strong_stock_breakout_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-1-board-sample-300d_20260504T155832511471Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_05_strong_stock_breakout/ten-buy-signal-05-strong_stock_breakout-hold-1-board-sample-300d_20260504T155832511471Z/report.html,412,206,206,59,2025-05-08,2026-04-29,412,412,0,412,684633.276741,-0.315366723259,-0.329331326412,0.203281238706,-0.324689015055,-1.862247559344,1.0
6,weekly_high_close_ma_turn,周线收高：宽幅周线收高后回踩上行 10 日均线,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_06_weekly_high_close_ma_turn_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-1-board-sample-300d_20260504T155833280997Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_06_weekly_high_close_ma_turn/ten-buy-signal-06-weekly_high_close_ma_turn-hold-1-board-sample-300d_20260504T155833280997Z/report.html,14,7,7,7,2025-02-25,2026-04-02,14,14,0,14,982790.649669,-0.017209350331,-0.015126608434,0.013124318235,-0.020173015268,-1.154769579942,1.0
7,gap_down_reversal,跳空反转：急跌后跳空低开并反转,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_07_gap_down_reversal_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-1-board-sample-300d_20260504T155833944253Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_07_gap_down_reversal/ten-buy-signal-07-gap_down_reversal-hold-1-board-sample-300d_20260504T155833944253Z/report.html,72,36,36,31,2025-02-14,2026-03-19,72,72,0,72,939584.026589,-0.060415973411,-0.052013911433,0.043893835716,-0.088787679867,-1.194947841991,1.0
8,two_weekly_up_volume,两周连涨：两根周阳且起涨周放量,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_08_two_weekly_up_volume_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-1-board-sample-300d_20260504T155835681149Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_08_two_weekly_up_volume/ten-buy-signal-08-two_weekly_up_volume-hold-1-board-sample-300d_20260504T155835681149Z/report.html,972,486,486,99,2025-03-14,2026-04-27,969,966,3,966,1034549.942555,0.034549942555,0.031732323838,0.121784849044,-0.064513039125,0.316875879081,1.0
9,sector_leaders,板块领涨：样本前两个标的同步走强,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_09_sector_leaders_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-1-board-sample-300d_20260504T155836105231Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_09_sector_leaders/ten-buy-signal-09-sector_leaders-hold-1-board-sample-300d_20260504T155836105231Z/report.html,4,2,2,2,2025-04-14,2025-04-15,4,4,0,4,995245.188067,-0.004754811933,-0.004717460918,0.004114497907,-0.004754811933,-1.147193497393,1.0
10,oversold_gravity_volume,超跌引力线：低于引力线且放量阳线,1,configs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_10_oversold_gravity_volume_hold_1.yaml,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-1-board-sample-300d_20260504T155836536186Z,runs/ten_buy_signals/board_sample_20_each_300d/hold_1/buy_signal_10_oversold_gravity_volume/ten-buy-signal-10-oversold_gravity_volume-hold-1-board-sample-300d_20260504T155836536186Z/report.html,0,0,0,0,,,0,0,0,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
